round:0	time:0.03162865512692293
round:1	time:0.03585729611576785
round:2	time:0.03261891093360749
round:3	time:0.0871999710759791
round:4	time:0.04410867228757562
round:5	time:0.06521007517176786
round:6	time:0.006117974564494723
round:7	time:0.026991261107735382
round:8	time:0.029004768249178036
round:9	time:0.0029590059061721436
round:10	time:0.04819502130271191
round:11	time:0.012960337831086828
round:12	time:0.0661959190543753
round:13	time:0.03406303888900167
round:14	time:0.022551475160673795
round:15	time:0.01765759020496937
round:16	time:0.017812678071635404
round:17	time:0.05233427680800303
round:18	time:0.08510903207529255
round:19	time:0.08717206362351425
round:20	time:0.054118492680224235
round:21	time:0.05984888039724951
round:22	time:0.05994737139184558
round:23	time:0.03201975088152024
round:24	time:0.02674679278680334
round:25	time:0.022509738575860465
round:26	time:0.0407899234239875
round:27	time:0.0417939256838512
round:28	time:0.025361344793388335
round:29	time:0.05150308246233239
round:30	time:0.02413246248619358
round:31	time:0.10109170711313797
round:32	time:0.02510118084505193
round:33	time:0.035807850378928814
round:34	time:0.0037104040357427755
round:35	time:0.022521180048831538
round:36	time:0.06422494216495553
round:37	time:0.09396770980433557
round:38	time:0.059007801550005255
round:39	time:0.009468837591355578
round:40	time:0.11541580994447126
round:41	time:0.07742161622090887
round:42	time:0.041807540814157655
round:43	time:0.023238304772642337
round:44	time:0.08420718837497974
round:45	time:0.005324320300377956
round:46	time:0.10431678672836021
round:47	time:0.04839193845436468
round:48	time:0.0778789283340992
round:49	time:0.053041555438339355
round:50	time:0.10412746132294894
round:51	time:0.02799101646442305
round:52	time:0.08334269681209791
round:53	time:0.05403620903568222
round:54	time:0.027009578458403922
round:55	time:0.07443064463397586
round:56	time:0.02896211757641728
round:57	time:0.041152954721456435
round:58	time:0.02839021128967885
round:59	time:0.03305558704303663
round:60	time:0.06259518059349892
round:61	time:0.03360386609100255
round:62	time:0.07443064463397586
round:63	time:0.08185232254151734
round:64	time:0.11308404315416422
round:65	time:0.08183629860134295
round:66	time:0.041323630695631025
round:67	time:0.03997095271086825
round:68	time:0.030743945878466482
round:69	time:0.04456588712921886
round:70	time:0.03704371360068542
round:71	time:0.13635234229539783
round:72	time:0.09851108425285228
round:73	time:0.06015638873373481
round:74	time:0.00912619542185091
round:75	time:0.12888750644489613
round:76	time:0.013655754268570894
round:77	time:0.025960669023503274
round:78	time:0.061082081336612006
round:79	time:0.07739109051966961
round:80	time:0.09383180832860133
round:81	time:0.03426015888879001
round:82	time:0.07934006324499941
round:83	time:0.08144972299953947
round:84	time:0.013807335182653056
round:85	time:0.029181184445567623
round:86	time:0.11283121696011233
round:87	time:0.05868645594246034
round:88	time:0.01820934170721985
round:89	time:0.03475427038451865
round:90	time:0.04490134438289761
round:91	time:0.032777804712848406
round:92	time:0.09383180832860133
round:93	time:0.019987514821824637
round:94	time:0.0636927451115621
round:95	time:0.05281927600485882
round:96	time:0.037535069282394265
round:97	time:0.021999648502210308
round:98	time:0.014004973307737775
round:99	time:0.045447119261135885
round:100	time:0.004043249448921017
round:101	time:0.049777648098926985
round:102	time:0.030586409129928153
round:103	time:0.046651604256953166
round:104	time:0.025025304396009168
round:105	time:0.03647911911959464
round:106	time:0.027806603648098213
round:107	time:0.04803627836813181
round:108	time:0.021210226197999622
round:109	time:0.033126085899092717
round:110	time:0.04892587012525332
round:111	time:0.020297722460134775
round:112	time:0.042264575324113825
round:113	time:0.0655773500630453
round:114	time:0.02785431883714952
round:115	time:0.01767853099922819
round:116	time:0.015549901402862568
round:117	time:0.05646953535672465
round:118	time:0.06561395036371571
round:119	time:0.06898328162683322
round:120	time:0.027866449077959394
round:121	time:0.04168566896662345
round:122	time:0.13996488050063555
round:123	time:0.05501249422997448
round:124	time:0.008532988563431801
round:125	time:0.022247036722473506
round:126	time:0.01853860695121169
round:127	time:0.0111983763038054
round:128	time:0.013282132880473531
round:129	time:0.07257163685360231
round:130	time:0.05411154790765838
round:131	time:0.04092857211106006
round:132	time:0.075728387028784
round:133	time:0.0530477850253795
round:134	time:0.02101542260026743
round:135	time:0.08543438669235043
round:136	time:0.02493856838824964
round:137	time:0.028251990895599426
round:138	time:0.05138059124871695
round:139	time:0.03618657827782361
round:140	time:0.008263940023219743
round:141	time:0.029174961293501545
round:142	time:0.13561631608760782
round:143	time:0.030341432370512945
round:144	time:0.05615007874396283
round:145	time:0.008588120389931087
round:146	time:0.04082370986272601
round:147	time:0.07680427951226271
round:148	time:0.045207371979680444
round:149	time:0.056523313869212444
round:150	time:0.056586897577275724
round:151	time:0.04867984733706212
round:152	time:0.03484716765831992
round:153	time:0.016393254567681367
round:154	time:0.05770888708758206
round:155	time:0.13802524535498073
round:156	time:0.045421084730598915
round:157	time:0.04886035803737052
round:158	time:0.03618818317743498
round:159	time:0.12645249331115777
round:160	time:0.04280590095623907
round:161	time:0.03888942979357675
round:162	time:0.07663959586869114
round:163	time:0.05070387638775487
round:164	time:0.0037508453304078617
round:165	time:0.02233515083435949
round:166	time:0.00498383427549738
round:167	time:0.01396544928323393
round:168	time:0.05647316190932298
round:169	time:0.05217653687180578
round:170	time:0.004709178421608783
round:171	time:0.019933094390010078
round:172	time:0.06742107254902822
round:173	time:0.03973422869109681
round:174	time:0.035260748815116365
round:175	time:0.02279969736713669
round:176	time:0.05995750198179368
round:177	time:0.08800581121491784
round:178	time:0.04647255915171158
round:179	time:0.02181314055621262
round:180	time:0.0546675987606936
round:181	time:0.027866449077959394
round:182	time:0.034105665361207245
round:183	time:0.02880357438459807
round:184	time:0.089898390478959
round:185	time:0.02734104129021131
round:186	time:0.012055991097247622
round:187	time:0.06227340198678099
round:188	time:0.11173103661028125
round:189	time:0.12426258380981509
round:190	time:0.02873875512856263
round:191	time:0.03421511724629415
round:192	time:0.07448683953236884
round:193	time:0.041300529793673955
round:194	time:0.08451828175139484
round:195	time:0.029405653982232494
round:196	time:0.015675338310325245
round:197	time:0.0332066518337292
round:198	time:0.08030465238004436
round:199	time:0.015859367922733885
round:200	time:0.09663512185257116
round:201	time:0.0680587114598214
round:202	time:0.010035920787882237
round:203	time:0.033718513434111946
round:204	time:0.044814933438930886
round:205	time:0.005210383912271394
round:206	time:0.0846351577923446
round:207	time:0.027444612583364964
round:208	time:0.0164250199500517
round:209	time:0.050482621973581276
round:210	time:0.014890066667998655
round:211	time:0.07088998169958635
round:212	time:0.02438856556024471
round:213	time:0.0672126069474591
round:214	time:0.0680587114598214
round:215	time:0.0176422643667072
round:216	time:0.09122284400303766
round:217	time:0.017398636619794045
round:218	time:0.024075292542933745
round:219	time:0.04651023463418609
round:220	time:0.025195915845601904
round:221	time:0.05936437399842608
round:222	time:0.03628172825547104
round:223	time:0.023859384941983742
round:224	time:0.02132111772747763
round:225	time:0.03844915505335581
round:226	time:0.01352493125640424
round:227	time:0.0428277670246906
round:228	time:0.03211319685445939
round:229	time:0.021732748511871597
round:230	time:0.020591724282873196
round:231	time:0.03523602854891772
round:232	time:0.03029629678454874
round:233	time:0.023177318592146275
round:234	time:0.024840034173768958
round:235	time:0.033125141162686327
round:236	time:0.03455155057087339
round:237	time:0.015034452350785875
round:238	time:0.05853658542707888
round:239	time:0.05584939724947574
round:240	time:0.03891722196635087
round:241	time:0.07519042623498087
round:242	time:0.05095011373847907
round:243	time:0.03134272711219045
round:244	time:0.0477513644109637
round:245	time:0.13430964480118687
round:246	time:0.05893331741934323
round:247	time:0.08132373334842607
round:248	time:0.029030784810668356
round:249	time:0.023072856264910596
round:250	time:0.02615343656132913
round:251	time:0.0054287789967524145
round:252	time:0.009720380272191445
round:253	time:0.0025803161369367857
round:254	time:0.09890064224011895
round:255	time:0.06910418451511853
round:256	time:0.025796196912089255
round:257	time:0.016985673156967692
round:258	time:0.06838781837947577
round:259	time:0.0314463961928449
round:260	time:0.017843941075276103
round:261	time:0.09935499030142911
round:262	time:0.08580386862038912
round:263	time:0.024772001235957963
round:264	time:0.0020251703392550444
round:265	time:0.026411648827754902
round:266	time:0.03170141007968809
round:267	time:0.020234662593180488
round:268	time:0.02094778140492398
round:269	time:0.018979063593670773
round:270	time:0.048323576767584135
round:271	time:0.028705821274849504
round:272	time:0.04141687354149937
round:273	time:0.007449751100858816
round:274	time:0.025344420927345672
round:275	time:0.02655121614311954
round:276	time:0.019986231155398795
round:277	time:0.01544444108020508
round:278	time:0.05012586280808451
round:279	time:0.08315247362079156
round:280	time:0.0846351577923446
round:281	time:0.03865662868401095
round:282	time:0.04139574498373771
round:283	time:0.04808809770611387
round:284	time:0.015705630118583377
round:285	time:0.024988250249418826
round:286	time:0.055948563916835066
round:287	time:0.0369051908442153
round:288	time:0.08390580767344948
round:289	time:0.013379929709364692
round:290	time:0.07533278193441502
round:291	time:0.0015785425035368312
round:292	time:0.027236618595551286
round:293	time:0.05320862992096003
round:294	time:0.013029501105959858
round:295	time:0.015458824465311261
round:296	time:0.047797057209200695
round:297	time:0.026057361305443116
round:298	time:0.06966285229415185
round:299	time:0.020965959010826516
round:300	time:0.08924903598490805
round:301	time:0.03465345053505119
round:302	time:0.030339904982714334
round:303	time:0.06309478232116197
round:304	time:0.02255451935101529
round:305	time:0.037126617349355684
round:306	time:0.10221769974784371
round:307	time:0.057749659435456686
round:308	time:0.013390598224389063
round:309	time:0.0632384416533489
round:310	time:0.013183844408928813
round:311	time:0.14559401953341494
round:312	time:0.01815078750890498
round:313	time:0.06196772151074655
round:314	time:0.018137407108576593
round:315	time:0.0480879873986093
round:316	time:0.0025207992622944464
round:317	time:0.033312441255216464
round:318	time:0.03397823117185055
round:319	time:0.06779714168110328
round:320	time:0.011318062966099572
round:321	time:0.048742461318932714
round:322	time:0.09145375071150846
round:323	time:0.005862185167087933
round:324	time:0.004792480419147618
round:325	time:0.07310071457983752
round:326	time:0.013818398292612302
round:327	time:0.013277594229677562
round:328	time:0.06647982744528522
round:329	time:0.03158586045315676
round:330	time:0.042119401332625483
round:331	time:0.04104677444444096
round:332	time:0.005369537354373964
round:333	time:0.042119401332625483
round:334	time:0.010519015623392757
round:335	time:0.02497530485932878
round:336	time:0.047376363503286556
round:337	time:0.014773624252560756
round:338	time:0.06652400973567221
round:339	time:0.0031156478206728466
round:340	time:0.017519746915797337
round:341	time:0.012801034321656492
round:342	time:0.05093700807315223
round:343	time:0.018645465467935916
round:344	time:0.06309929962284207
round:345	time:0.029492806635860246
round:346	time:0.054938554059659285
round:347	time:0.027400140706028676
round:348	time:0.11438425545439103
round:349	time:0.027585706853949225
round:350	time:0.018681185345693345
round:351	time:0.027699502539398818
round:352	time:0.07744412140343765
round:353	time:0.010463596164887375
round:354	time:0.060887010474249235
round:355	time:0.07027347682460267
round:356	time:0.026929803651817397
round:357	time:0.006566926955802249
round:358	time:0.024882058562506297
round:359	time:0.07846582734994391
round:360	time:0.03284326864226772
round:361	time:0.029302472299001656
round:362	time:0.05976192003351417
round:363	time:0.02465589274083854
round:364	time:0.0058068969834601325
round:365	time:0.04910618022224186
round:366	time:0.005951095205669898
round:367	time:0.006039207704014555
round:368	time:0.023368685564701494
round:369	time:0.039956626018986544
round:370	time:0.04402853944150441
round:371	time:0.02081619533318135
round:372	time:0.05995552336866378
round:373	time:0.03788700423189952
round:374	time:0.05725410883258227
round:375	time:0.011134005588807058
round:376	time:0.06057166338824953
round:377	time:0.02975574650656927
round:378	time:0.04949780430441146
round:379	time:0.0007420598213898528
round:380	time:0.04967038734258065
round:381	time:0.05564026580488205
round:382	time:0.017872321806717644
round:383	time:0.017764988105602276
round:384	time:0.02766379137324346
round:385	time:0.04263051749987041
round:386	time:0.04414595579880556
round:387	time:0.08613308265669453
round:388	time:0.02004953312491234
round:389	time:0.06809926787320884
round:390	time:0.009968757001744934
round:391	time:0.02583078583025011
round:392	time:0.03951768491517312
round:393	time:0.1198685658207752
round:394	time:0.01028960168236464
round:395	time:0.05134873653338531
round:396	time:0.06290394924924783
round:397	time:0.08839832113070847
round:398	time:0.04285042968703039
round:399	time:0.09568856893413434
round:400	time:0.018075580045269945
round:401	time:0.03503189423907293
round:402	time:0.018075580045269945
round:403	time:0.0753960622786282
round:404	time:0.02782430058674341
round:405	time:0.02555753756027651
round:406	time:0.05206124216246601
round:407	time:0.06558424892503177
round:408	time:0.070243153864186
round:409	time:0.027464937705214177
round:410	time:0.009395339408385167
round:411	time:0.019523244762416295
round:412	time:0.03395681272244906
round:413	time:0.022477483061099406
round:414	time:0.11923250696310546
round:415	time:0.12197081413478586
round:416	time:0.02930876705543629
round:417	time:0.02117449240819936
round:418	time:0.018784764243514596
round:419	time:0.015917207070684836
round:420	time:0.03622891905030299
round:421	time:0.031541681577339865
round:422	time:0.06301217967513685
round:423	time:0.03637739385873038
round:424	time:0.01969609096729025
round:425	time:0.012037405678602104
round:426	time:0.038594358347981784
round:427	time:0.031917707867103594
round:428	time:0.12950476512619005
round:429	time:0.04616593825272337
round:430	time:0.048042122625489625
round:431	time:0.046794253227588435
round:432	time:0.02627329992962551
round:433	time:0.026959133856100492
round:434	time:0.06606453829017278
round:435	time:0.03831557173802054
round:436	time:0.07017892114196346
